MAJOR CLADE,No.REF,ORDER,FAMILY,NODE,SRB_topology,FAMILY,TOPO,mean,min,max,Reference,
,231,,,Monocots + [Ceratophyllales + Eudicots],NA,,!TOPO,213,,,Z. Wu et al. 2014,
,232,,,Monocots + [Ceratophyllales + Eudicots],NA,,!TOPO,214,190,238,Murat et al. 2017,
,233,,,Monocots + [Ceratophyllales + Eudicots],NA,,!TOPO,301,208,394,Zimmer et al. 2007,
,234,,,Monocots + [Ceratophyllales + Eudicots],NA,,!TOPO,125.1,124.1,126.8,Iles et al. 2014,
MONOCOTS,235,,4,Monocots,631,1,,200,180,220,Savard et al. 1994,
MONOCOTS,236,,4,Monocots,631,1,,189,,,Z. Wu et al. 2014,
MONOCOTS,237,,4,Monocots,631,1,,160,144,176,Goremykin et al. 1997,
MONOCOTS,238,,4,Monocots,631,1,,,131,135,Leebens-Mack et al. 2005,
MONOCOTS,239,,4,Monocots,631,1,,,124,133.8,Moore et al. 2007,
MONOCOTS,240,,4,Monocots,631,1,,134,121,147,Bremer 2000b,
MONOCOTS,241,,4,Monocots,631,1,,133.2,,,Magall??n et al. 2015,
